Name,Team,Wins,Losses,Possessions,FGP,EFGP,2PP,3PP,FreeThrowsMade,FreeThrowsAttempted,FTP,OffensiveRebounds,DefensiveRebounds,Rebounds,ORP,DRP,TRP,Assists,Steals,BlockedShots,Turnovers,PF,Points,TrueShootingAttempts,TSP,AP,SP,BP,TOP,URP
Golden State Warriors,GS,0.0,1.0,77.8,32.7,36.2,44.1,17.9,13.2,19.4,52.7,6.6,29.4,38.0,,,,24.0,4.8,4.2,11.6,13.2,79.0,78.3,39.1,,,,,
Golden State Warriors,GS,1.0,0.0,77.5,37.5,43.3,49.4,25.3,10.8,12.4,67.8,7.2,27.1,36.4,,,,20.9,11.6,1.8,12.4,11.6,92.2,77.5,46.1,,,,,
Golden State Warriors,GS,1.0,0.0,75.2,36.5,41.9,49.9,21.3,24.8,31.0,62.0,15.5,25.6,41.1,,,,17.8,10.8,3.6,12.4,16.3,95.3,79.5,46.5,,,,,
Golden State Warriors,GS,1.0,0.0,80.4,37.0,44.6,42.0,31.7,16.3,17.0,74.0,6.0,22.5,30.2,,,,24.0,10.1,2.4,10.1,17.0,98.4,78.8,48.5,,,,,
Golden State Warriors,GS,1.0,0.0,78.5,40.1,47.4,57.7,25.3,13.2,15.5,65.9,4.2,26.4,31.8,,,,24.0,7.2,1.8,11.6,21.7,93.0,72.7,49.4,,,,,
Golden State Warriors,GS,1.0,0.0,75.6,40.0,48.5,51.1,31.0,7.2,10.8,66.4,5.4,31.0,38.0,,,,27.9,6.0,2.4,6.6,12.4,97.6,75.3,50.3,,,,,
Golden State Warriors,GS,1.0,0.0,80.1,37.8,46.0,45.3,31.0,7.2,14.0,51.7,4.2,35.6,41.1,,,,25.6,10.8,3.0,12.4,13.2,88.4,72.8,47.0,,,,,
Golden State Warriors,GS,1.0,0.0,78.0,32.9,42.1,36.7,30.1,2.4,4.8,38.8,6.0,35.6,43.4,,,,23.2,5.4,4.8,11.6,16.3,79.8,74.0,41.8,,,,,
Golden State Warriors,GS,0.0,1.0,83.8,33.6,39.6,38.8,27.1,5.4,7.2,58.1,4.2,31.8,37.2,,,,22.5,4.8,4.2,17.0,13.2,78.3,73.8,41.0,,,,,
Golden State Warriors,GS,1.0,0.0,74.7,36.4,42.9,45.0,27.1,10.8,14.0,60.3,4.2,30.2,35.6,,,,23.2,5.4,4.8,11.6,15.5,82.2,70.5,45.1,,,,,
Golden State Warriors,GS,1.0,0.0,75.5,34.3,39.9,38.8,27.2,15.5,18.6,64.6,10.8,22.5,33.3,,,,20.2,7.2,1.8,3.6,10.1,92.2,83.4,42.9,,,,,
Golden State Warriors,GS,1.0,0.0,79.4,40.1,46.7,41.7,37.5,10.8,17.0,49.3,6.0,33.3,41.1,,,,20.9,3.0,2.4,16.3,15.5,89.1,71.8,48.2,,,,,
Golden State Warriors,GS,1.0,0.0,87.4,34.2,40.0,38.8,27.8,19.4,23.2,64.6,5.4,31.8,38.8,,,,23.2,5.4,1.2,13.2,14.0,93.8,82.3,44.3,,,,,
